company_name,website,country,employee_count,industry,travel_category,page_title,b2c_score,b2c_reasoning,source_file,line_number
Culinary Backstreets,https://culinarybackstreets.com,United States,43,Unknown,,Global Food Tours and Food Guide - Culinary Backstreets,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2176
Meliá Hotels International,https://meliahotelsinternational.com,Mexico,19000,Unknown,,"
	Meliá Hotels International - Meliá's official corporate website
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2189
Meyer Jabara Hotels,https://meyerjabarahotels.com,United States,170,Unknown,,Meyer Jabara Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2365
Sycamore Investment Group,https://sycamoreinvestments.com,United States,15,Unknown,,Home - Sycamore Investments,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2417
Action Hotels Company,https://actionhotels.com,United States,54,Unknown,,Home | Action Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2427
Aviva,https://aviva.com.br,United States,1300,Unknown,,Aviva. Multiplicando maneiras de fazer você feliz,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2583
T2 Hospitality,https://t2hospitality.com,United States,16,Unknown,,T2 Hospitality – A Collection of Companies with Hospitality at our Core,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2588
The Wankawala Organization,https://wankawala.com,United States,17,Unknown,,"The Wankawala Organization - Marlton, NJ | Hospitality & Management | Fairfield Inn & Suites Marriott | Holiday Inn Express | Hampton Inn | Days Inn | Wingate by Wyndham | Quality Inn | Rodeway Inn",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2672
Mobility Partners Inc.,https://mobility.partners,Ukraine,16,Unknown,,Главная | Mobility,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2686
Big Sky Resort,https://bigskyresort.com,United States,730,Unknown,,Big Sky Resort | Big Sky Resort,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2807
connections housing,https://connectionshousing.com,United States,110,Unknown,,Connections Housing,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2817
MET - Aéroport métropolitain de Montréal,https://metmtl.com,Canada,22,Unknown,,MET – Aéroport métropolitain de Montréal,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2823
Anahita Mauritius,https://anahitamauritius.com,Mauritius,170,Unknown,,Luxury residential estate Mauritius| Anahita Mauritius,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2827
Aeroflot - Russian Airlines,https://aeroflot.ru,Russia,42000,Unknown,,"Авиабилеты в Аэрофлоте, купить билет на самолет онлайн — цены и бронирование на официальном сайте, поиск авиаперелетов",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2886
Turnberry,https://turnberry.com,United States,320,Unknown,,TURNBERRY,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2896
SLS Hotels,https://slshotels.com,United States,230,Unknown,,SLS Hotels & Residences,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2945
South American Jets,https://southjets.com,United States,37,Unknown,,Private Flight Services - South American Jets,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,2955
