company_name,website,country,employee_count,industry,travel_category,page_title,b2c_score,b2c_reasoning,source_file,line_number
TRANSPORTER,https://transporter.sg,United States,320,Unknown,,Home - Limousine & maxicab airport transfer services by Transporter,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21327
Cruise Brothers,https://cruisebrothers.com,United States,630,Unknown,,The Cruise Brothers Travel and Host Agency Since 1972,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21452
GlobalStar Travel Management,https://globalstartravel.com,United Kingdom,21,Unknown,,Home - GlobalStar,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21588
LiNGER,https://linger.co.uk,United Kingdom,13,Unknown,,Bespoke Sabbaticals & Experiential Holidays | LiNGER Travel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21592
Timberbush Tours,https://timberbush-tours.co.uk,United Kingdom,42,Unknown,,Award-Winning Tours of Scotland | Timberbush Tours,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21630
BRE Hotels & Resorts,https://brehotels.com,United States,57,Unknown,,Home - BRE Hotels & Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21675
Regional & City Airports (RCA),https://rca.aero,United Kingdom,350,Unknown,,Home - RCA,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21690
Beyond Green,https://staybeyondgreen.com,United States,48,Unknown,,Make Your Stay Beyond Green - Eco-First Prestigious Luxury Holidays | Beyond Green,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21708
Raymond Management Company,https://raymondteam.com,United States,250,Unknown,,Raymond Management Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21774
quintess collection,https://quintess.com,United States,90,Unknown,,Luxury Vacation Club | The Quintess Collection,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21777
DB Cargo Nederland N.V.,https://deutschebahn.com,United Kingdom,120,Unknown,,"
DB Konzern
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21778
brandt hospitality group,https://brandthg.com,United States,110,Unknown,,Welcome - Hotel Development and Construction Services,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21788
DreamMaker,https://experientiality.com,United States,140,Unknown,,Experientiality | Experiential Luxury Travel Boutique,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21801
Golden Empire Transit District,https://getbus.org,United States,130,Unknown,,Home - Golden Empire Transit District,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21837
Smugglers'?? Notch Resort,https://smuggs.com,United States,300,Unknown,,Four Season Vacations at Smugglers' Notch Resort Vermont,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21847
resort group,https://resortgroup.com,United States,110,Unknown,,"Resort Group | Total Resort Services ™ | Property Management in Steamboat Springs, Colorado",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21877
Furnished Quarters,https://furnishedquarters.com,United States,140,Unknown,,Furnished Short-Term Apartment Rentals | Furnished Quarters,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21882
Woodloch Resort,https://woodloch.com,United States,290,Unknown,,Woodloch | All Inclusive Family Resort | Best Poconos Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21891
IBS Software,https://ibsplc.com,United Kingdom,5000,Unknown,,"IBS Software - Airline, IT & Aviation Software Solutions",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21907
COMO Hotels and Resorts,https://comohotels.com,United Kingdom,1600,Unknown,,Luxury Hotels and Resorts | COMO Hotels and Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21913
21c Museum Hotels,https://21cmuseumhotels.com,United States,540,Unknown,,21c Museum Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,21929
DiamondRock Hospitality,https://drhc.com,United States,31,Unknown,,DiamondRock Hospitality Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22175
Fortis,https://fortis.co,United States,81,Unknown,,Home - Fortis,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22227
Ski Santa Fe,https://skisantafe.com,United States,70,Unknown,,Ski Santa Fe,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22265
Chiles Hospitality,https://chileshospitality.com,United States,110,Unknown,,Chiles Group | Explore Our Expertise,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22320
Walks,https://takewalks.com,United States,250,Unknown,,Walks Tours | Small Group Tours in Cities Around the World,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22341
Panorama Mountain Resort,https://panoramaresort.com,Canada,180,Unknown,,Panorama Mountain Resort - British Columbia Ski-in / Ski-out Destination | Panorama Mountain Resort ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22367
Rentalcars.com,https://rentalcarsconnect.com,United Kingdom,210,Unknown,,Booking.com car rental affiliate partner program | Booking.com Partnerships Hub,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22374
Life House,https://life-house.com,United States,130,Unknown,,Lark Hospitality | Hotel Management & Development Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22541
Larkin Hospitality,https://larkinhospitality.com,United States,21,Unknown,,Larkin Hospitality | Family-Owned Hotel Operating Company in New England,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22542
Manchester Financial Group,https://manchesterfinancialgroup.com,United States,17,Unknown,,Manchester Financial Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22566
"Chesterfield Hotels, Inc.",https://chesterfieldhotels.net,United States,21,Unknown,,Chesterfield Hotels Inc,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22603
Akron/Summit Convention & Visitors Bureau,https://visitakron-summit.org,United States,21,Unknown,,"Visit Greater Akron | Summit County Food, Hotels & Things to Do",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22604
Honig Vineyard & Winery,https://honigwine.com,United States,26,Unknown,,Honig Vineyard and Winery - ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22607
Niagara Falls Bridge Commission,https://niagarafallsbridges.com,Canada,57,Unknown,,Niagara Falls Bridge Commission – Spanning the Future,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22612
Preferred Travel Group,https://preferredtravelgroup.com,United States,89,Unknown,,,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22614
"Fusion Hospitality, LLC",https://fusion-hospitality.com,United States,33,Unknown,,Fusion Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22645
Nexus Companies,https://nexusd.com,United States,34,Unknown,,"
		Home | Nexus | The Vision to Develop and the Commitment to Deliver 
	",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22647
Rit Inn & Conference Center,https://ritinn.com,United States,54,Unknown,,RIT Inn and Conference Center,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22652
Ocean House Collection,https://ohmcollection.com,United States,97,Unknown,,Ocean House Collection,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22702
the olympia companies,https://theocos.com,United States,130,Unknown,,Independent Hotel Management & Development | Olympia Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22711
Alexandria Transit Company (DASH),https://dashbus.com,United States,97,Unknown,,"Welcome to Alexandria! | DASH – Alexandria, VA's FREE Local Transit System",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22730
DelMonte Hotel Group,https://delmontehotels.com,United States,220,Unknown,,DelMonte Hotel Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22734
Exclusive Collection,https://exclusivepeople.co.uk,United Kingdom,260,Unknown,,Exclusive People | Careers at Exclusive Collection,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22737
B. F. Saul Company Hospitality Group,https://bfsaulhotels.com,United States,200,Unknown,,B. F. Saul Company Hospitality Group | Property Management Company in the USA,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22750
Andrew Brownsword Hotels,https://brownswordhotels.co.uk,United Kingdom,110,Unknown,,Andrew Brownsword Hotels - AA Hotel Group of the Year 2017-18,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22763
Cherokee Nation Businesses,https://cherokeenationbusinesses.com,United States,1300,Unknown,,Cherokee Nation Businesses,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22901
Virgin Hotels Collection,https://virginhotelscollection.com,United Kingdom,720,Unknown,,Virgin Hotels Collection,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22927
Island Hospitality Management,https://islandhospitality.com,United States,640,Unknown,,Island Hospitality Management | Official Site,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22931
U.S. Army MWR,https://armymwr.com,United States,640,Unknown,,U.S. Army Family and Morale Welfare and Recreation (Army MWR),Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22933
The Siegel Group,https://siegelcompanies.com,United States,190,Unknown,,Home - The Siegel Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,22958
Azura Retreats,https://azura-retreats.com,United Kingdom,14,Unknown,,Home - Azura,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23274
World Cruising Club Ltd,https://worldcruising.com,United Kingdom,16,Unknown,,"
	World Cruising Club
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23281
Orthodoxou Group Of Companies,https://orthodoxougroup.com,Cyprus,13,Unknown,,Orthodoxou Group -  Home ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23311
AVCON JET,https://avconjet.at,Austria,360,Unknown,,Home - Avcon Jet,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23503
Xenios Hospitality,https://xenios-hospitality.com,Austria,42,Unknown,,Xenios Hospitality - Xenios Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23508
Travelata,https://travelata.ru,Russia,49,Unknown,,"Турагентство Травелата — в Москве, официальный сайт турфирмы в г. Москва",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23710
EZ RIDE,https://ezride.org,United States,47,Unknown,,EZ Ride | New Jersey Shuttle Transportation Community Transportation Solutions,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23711
The Weber Group,https://theweber.group,United States,16,Unknown,,The Weber Group Website,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23777
Continuum Management Group,https://continuummanagementgroup.com,United States,16,Unknown,,Continuum Management Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23785
Harraseeket Inn,https://harraseeketinn.com,United States,42,Unknown,,"Historic Hotel in Freeport, Maine | Harraseeket Inn",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23788
Brazilian Court Hotel,https://thebraziliancourt.com,United States,38,Unknown,,The Brazilian Court Hotel | A Luxury Palm Beach Hotel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23790
Odyssey Aviation US,https://odysseyaviation.com,United States,37,Unknown,,Odyssey Aviation | FBOs in the Bahamas and United States,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23806
New Waterloo,https://newwaterloo.com,United States,120,Unknown,,"New Waterloo | Hospitality Management & Development | Austin, TX - New Waterloo",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23816
Soul Community Planet,https://scphotel.com,United States,53,Unknown,,SCP Hotels - Soul Community Planet | Holistic Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23817
MAG (Airports Group),https://magairports.com,United Kingdom,7000,Unknown,,Homepage | Manchester Airports Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23868
El Sol Travel,https://elsoltravel.net,United States,25,Unknown,,Landing - El Sol Travel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23885
Meadowbrook Inn,https://meadowbrook-inn.com,United States,37,Unknown,,Meadowbrook Inn | Blue Ridge Mountains Boutique Hotel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23886
Denver Union Station,https://unionstationindenver.com,United States,43,Unknown,,"Shop, Dine & Stay in Downtown Denver | Denver Union Station",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23889
Beemok Hospitality Collection (BHC),https://beemok.com,United States,43,Unknown,,Beemok,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23893
Port of New Orleans,https://portnola.com,United States,200,Unknown,,"Cargo, Rail, Cruises, & Industrial Real Estate | Port of… | Port NOLA",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,23944
Brown Hotels,https://brownhotels.com,United States,130,Unknown,,"Brown Hotels™ Soulful Hotel Collection by Brown Hotels Hotels in Israel, Greece,Croatia.",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24085
South Shore Convention and Visitors Authority,https://southshorecva.com,United States,32,Unknown,,"South Shore, IN | Northwest Indiana Things To Do, Restaurants, Events",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24091
Fogo Island Inn,https://fogoislandinn.ca,Canada,78,Unknown,,Fogo Island Inn | All-Inclusive Hospitality & Regenerative Travel ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24353
MyB2BNetwork,https://myb2bnetwork.com,United States,13,Unknown,,Discover Global Business Solutions with MyB2BNetwork.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24359
Goldair Handling,https://goldair-handling.com,Cyprus,1100,Unknown,,Goldair Handling,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24363
Gold Strike Casino Resort,https://goldstrike.com,United States,260,Unknown,,Gold Strike Tunica Hotel and Casino,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24371
Zeste Meetings & Incentives,https://zesteincentive.com,Canada,18,Unknown,,Zeste Incentives -,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24376
The Hotel Group,https://thehotelgroup.com,United States,68,Unknown,,"
							The Hotel Group - Hospitality Management and Development Company
					",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24387
Magma Global,https://magmaglobaltravel.com,United States,37,Unknown,,Magma Global,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24401
the colony palm beach,https://thecolonypalmbeach.com,United States,120,Unknown,,The Colony Palm Beach Hotel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24410
Tower Mobility LLC,https://towermobility.com,United States,96,Unknown,,"
      Tower Mobility
    ",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24446
Visit Sacramento,https://visitsacramento.com,United States,36,Unknown,,"Visit Sacramento | Hotels, Restaurants, Events, & Things to Do",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24562
CHATTANOOGA AREA REGIONAL TRANSPORTATION AUTHORITY,https://gocarta.org,United States,48,Unknown,,Home | CARTA | Chattanooga’s Ride,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24650
P,https://sfmta.com,United States,1900,Unknown,,"San Francisco Municipal Transportation Agency (SFMTA, transit, streets, taxi) | SFMTA",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24758
HS2 (High Speed Two) Ltd,https://hs2.org.uk,United Kingdom,2800,Unknown,,Homepage - HS2,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24760
Lone Star Cab,https://lonestarcabaustin.com,United States,16,Unknown,,Lone Star Cab,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24783
Simplenight,https://simplenight.com,United States,30,Unknown,,"SIMPLENIGHT® |     Powering the World's Experiences
",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,24815
Akash Travels,https://akashtravels.in,United States,29,Unknown,,Akash Travels |,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25026
Wincome Hospitality,https://wincomehospitality.com,United States,56,Unknown,,Wincome Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25186
Aeroprime Group,https://aeroprime.in,United Kingdom,68,Unknown,,"aeroprime | The Visionaries, The Doers",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25197
Jamsan Management,https://jamsan.us,United States,360,Unknown,,Home | Jamsan Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25377
madagastours,https://madagastours.com,Austria,15,Unknown,,madagas_tours,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25451
Nine Orchard,https://nineorchard.com,United States,39,Unknown,,Nine Orchard - A Home Away From Home in Downtown New York — Nine Orchard,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25558
Lighthouse Hotel Management,https://lighthousehotelmanagement.com,United Kingdom,18,Unknown,,Lighthouse Hotel Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25670
The Halston,https://thehalston.com,United Kingdom,20,Unknown,,"Welcome - The Halston - Hotel Carlisle | Apartments, Events, Weddings",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25690
Grupo GDI,https://grupogdi.net,United States,49,Unknown,,"Grupo GDI | Administradora Grupo GDI  inversiones inmobiliarias de bienes raíces en México, haciendo énfasis en los desarrollos hotelero, centros comerciales, condominios residenciales y venta de terrenos.",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25715
Private Yacht Group,https://privateyachtgroup.eu,United Kingdom,130,Unknown,,Private Yacht Group - Brokerage & Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25773
"PUBLIC, an Ian Schrager Hotel",https://publichotels.com,United States,96,Unknown,,Public Hotel New York,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25798
Journey Hospitality,https://journey.travel,United Kingdom,150,Unknown,,Journey | Hotel Ecommerce & Technology,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25813
Webjet Limited,https://webjetlimited.com,United Kingdom,86,Unknown,,Webjet Group Investor Centre,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25818
EOS Hospitality,https://eoshospitality.com,United States,220,Unknown,,EOS Hospitality | Official Site,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25849
"Young & Co Brewery, PLC",https://youngs.co.uk,United Kingdom,1800,Unknown,,"Great British pubs, food and beer, London pubs - Young's Pubs",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25867
Federal Group,https://federalgroup.com.au,Australia,640,Unknown,,Home - Federal Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,25896
Cabify,https://cabify.com,United Kingdom,1200,Unknown,,La ciudad es tuya. Viaja con nosotros | Cabify,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26349
Anna Hospitality LLC,https://annamgmt.com,United States,14,Unknown,,Home | Annamanagement,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26413
Helix Hospitality,https://helixhotels.com,United States,27,Unknown,,Helix Hospitality | Chicago-based Hotel Ownership & Management,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26592
Smoky Mountain Distributors,https://smokymountaindistributors.com,United States,14,Unknown,,Home - Smoky Mountain Distributors,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26653
eTR - Corporate Travel Solutions Company,https://etrbiz.com,United States,20,Unknown,,Corporate Travel | eTR Corporate Travel Solutions,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26697
Hotel Parkland,https://hotelparkland.in,United Kingdom,34,Unknown,,Why Bonita At Heritage Village & Spa Is South Goa's Must-Visit For Food Lovers | Parkland Hotels & Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26720
Avatar Airlines - a start-up,https://avatarairlines.com,United States,12,Unknown,,Home - Avatar Airlines,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26732
SilverRail,https://silverrailtech.com,United Kingdom,140,Unknown,,SilverRail - The Rail Distribution and Retail Platform,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26741
Algoritmi,https://algoritmi.care,United Kingdom,14,Unknown,,Home | Algoritmi,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26771
national jets,https://nationaljets.com,United States,69,Unknown,,"Private Jet Travel, Aviation Services - National Jets",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26818
Discover Fort Smith,https://discoverfortsmith.com,United States,46,Unknown,,"Events, Hotels, Things to Do, & More | Discover Fort Smith",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26962
Pinnacle Hotel Management,https://pinnaclehotelmanagement.com,United States,59,Unknown,,"
			Pinnacle Hotel		",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26967
TravGlobe,https://tgholidays.com,United States,15,Unknown,,"
  TravGlobe
  
  
  
  ",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,26981
Visions Hotels,https://visions-hotels.com,United States,130,Unknown,,Visions Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27010
"Hotel Vin, Autograph Collection",https://hotelvin.com,United States,42,Unknown,,Hotels Near DFW Airport | Hotel Vin Grapevine TX,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27018
Al-Burhan Group,https://alburhangroup.com,United Kingdom,52,Unknown,,Al-Burhan Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27030
Archer Travel Group,https://archertravel.com,United States,2400,Unknown,,"Archer Travel Service, Inc. Home - Archer Travel Service, Inc.",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27036
"S&K Gaming, LLC",https://skgamingllc.com,United States,52,Unknown,,"S&K Gaming, LLC | Providing Responsible Gaming",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27071
Canadian North,https://canadiannorth.com,Canada,810,Unknown,,Canadian North - Welcome,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27088
Vida Vacations,https://vidavacations.com,Mexico,220,Unknown,,,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27092
The Slate,https://theslatephuket.com,United States,160,Unknown,,The Slate Hotel Phuket | Step into a dreamscape | The Slate | Phuket,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27094
"The Virginian Hotel, Curio Collection by Hilton",https://thevirginianhotel.com,United States,25,Unknown,,The Virginian Hotel: Downtown Lynchburg Hotel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27097
Columbia Hospitality,https://columbiahospitality.com,United States,690,Unknown,,Columbia Hospitality | Hospitality Management & Consultancy,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27166
"Slowey Management, LLC",https://sloweymanagement.com,United States,13,Unknown,,Slowey Management | Hotel Management Company | Official Site,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27169
Journeys Across Canada,https://journeysacrosscanada.com,United States,22,Unknown,,Journeys Across Canada - Hotels Online and Inbound Travel Services,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27188
Visit Bellevue,https://visitbellevuewa.com,United States,26,Unknown,,"Visit Bellevue, WA | Events, Hotels, Restaurants & Attractions",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27239
Virginia Beach Resort Hotel and Conference Center,https://virginiabeachresort.com,United States,30,Unknown,,"Virginia Beach VA | Find the Best Hotels, Restaurants, Attractions, Events",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27250
"Lakhani Hospitality, Inc.",https://lakhanihospitality.com,United States,39,Unknown,,Lakhani Hospitality ownership & management company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27261
Wittwer Hospitality,https://wittwerhospitality.com,United States,29,Unknown,,Wittwer Hospitality – Hotel Management & Consulting Services,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27365
Avcair - Aviation . Excellence,https://avcair.com,Australia,31,Unknown,,Avcair - Australian Private Jet Charter with Global Reach,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27582
"TRAVELING TEAMS, Inc.",https://travelingteams.com,United States,72,Unknown,,Traveling Teams | Youth Sports Event Housing | Booking Rooms Made Easy,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27586
Food Tour Corporation,https://foodtourcorp.com,United States,13,Unknown,,Food Tour Corporation | Join us and be a part of Food Tour Corp | Corporate and Private Culinary Tours and Events,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27598
RED HALL HOTEL (BURY) LIMITED,https://red-hall.co.uk,United Kingdom,19,Unknown,,Great Value Manchester Hotel | Red Hall Hotel Bury,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27609
Corporate Accommodations,https://corporate-accommodations.com,United States,23,Unknown,,Corporate Accommodations | NC Furnished Apartments,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27647
DFW,https://dfwairport.com,United States,2600,Unknown,,Welcome to Dallas Fort Worth International Airport,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27743
The DePrez Group of Travel Companies,https://depreztravel.com,United States,32,Unknown,,The DePrez Group of Travel Companies,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27767
SunBuggy,https://sunbuggy.com,United States,38,Unknown,,,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27892
premier hospitality management,https://premierhotels.us,United States,55,Unknown,,"
		Premier Hospitality Management, Inc. - 
		We Have A Heart For Hospitality.	",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27895
Port Saint John,https://sjport.com,Canada,83,Unknown,,Port Saint John - Positioned for Performance in Atlantic Canada.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,27979
The Springs Resort & Spa,https://thespringscostarica.com,United States,67,Unknown,,The Springs Resort & Spa - Luxury Hotels in Arenal,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28047
en Route Travel,https://enroutetravel.com,United States,28,Unknown,,en Route Travel – We Bring You the World,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28067
ocean canyon resorts,https://oceancanyon.com,United States,120,Unknown,,Ocean Canyon Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28106
ResNet World,https://resnetworld.com,United States,22,Unknown,,ResNet World – Driving Direct Bookings,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28117
360 Private Travel,https://360privatetravel.com,United Kingdom,110,Unknown,,360 Private Travel - Your Luxury Travel Experts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28156
Shamin Hotels,https://shaminhotels.com,United Kingdom,360,Unknown,,Shamin Hotels | Hotel Management and Ownership,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28262
Neptune Hotels,https://neptunehotels.com,Canada,240,Unknown,,Neptune Hotels – All-Inclusive Beach Resorts and Luxury Safaris,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,28368
